sample,activation_hex,weight_hex,ref_out,hw_out,error
0,0x1c80317fa3b1799d,0x46685257bdd640fb,1,1,0
1,0x8b9d2434e465e150,0x6c031199972a8469,0,0,0
2,0x17fc695a07a0ca6e,0x8fadc1a606cb0fb3,1,1,0
3,0x6b65a6a48b8148f6,0x96da1dac72ff5d2a,0,0,0
4,0xde8a774bcf36d58b,0xce4a2bbdc241330b,1,1,0
5,0x6c307511b2b9437a,0x27cd813047229389,0,0,0
6,0xc37459eef50bea63,0x17be31111a2a73ed,0,0,0
7,0x9a8dca03580d7b71,0x89463e85759cde66,1,1,0
8,0xec1b8ca1f91e1d4c,0x8d5288f1142c3fe8,1,1,0
9,0xdc98d2c1e2acf72f,0xc5e7ce8a3a578a8e,0,0,0
10,0xddd1dfb23b982ef8,0x47294739614ff3d7,0,0,0
11,0xd58842dea2bc372f,0x5ec42e0829a3b2e9,0,0,0
12,0xab9099a435a240ae,0x3eabedcbbaa80dd4,0,0,0
13,0x6123fdf77656af72,0x8e944239b02b61c4,0,0,0
14,0xc6a7ee39c4b032cc,0xd261a7ab3aa2e4f9,1,1,0
15,0x50c187fcce177b4e,0x10f1bc81448aaa9e,1,1,0
16,0xb7c93acfe059a0ee,0xa7cad415366eb16f,1,1,0
17,0x757750a9a491f0b2,0x23bed01d43cf2fde,0,0,0
18,0x5cabcc97663f1c97,0xff5e9ff0ff50bde4,0,0,0
19,0x7e570ddf827050a8,0x98ae43346c12ace8,0,0,0
20,0xf143262fdc5c0eed,0xb88139b9ae270da7,1,1,0
21,0x5715bd6fa4161293,0x6f4cc69a4b22d308,0,0,0
22,0x2720797d32ebd689,0xeb2263dd87c5421e,1,1,0
23,0x52fbe43b99546eb4,0xce88cb2dd4e80839,0,0,0
24,0xed42f1a3d4cbf37,0xd0e6e6607c69dee1,1,1,0
25,0x2031d750c40db9b4,0x2a45c2ab8cbfedb0,1,1,0
26,0xf6e07cc06c52c49f,0xb09b2a5cbadcc32a,0,0,0
27,0x4fcca39ab683d2e6,0x7394988f847fd9b4,1,1,0
28,0x3985c3cf3f76be1d,0x1d7425638602ab6,1,1,0
29,0xa18ff6b6b535106e,0xdc1110c1080aadfb,0,0,0
30,0x839fbc501223b513,0xab4220a7474a493b,0,0,0
31,0x8a0b3c3336d8393a,0x93829b43922fe15a,1,1,0
32,0xc8dcd19f3e351128,0x683514f2ceb81f9d,0,0,0
33,0x5ab33edf6e595ed3,0xf844fef1931e9ee,0,0,0
34,0x1bf90e27dc96925e,0x23e2fcb472d8567d,1,1,0
35,0x474ebc192ef91276,0xf810238303c72ba8,0,0,0
36,0x2a935d623c835dc0,0x7b3a4e3e7c52fa17,1,1,0
37,0x2a25a8880f02bad0,0xfc3d3348008d4127,0,0,0
38,0x747b6dbac8fe3ccd,0x27a0c3d77c967f79,0,0,0
39,0xea2622b504867ba,0x675dd5af3c365296,0,0,0
40,0x9e8fc9650a2c827e,0x85d5169590b2b633,0,0,0
41,0x42c18a62ef48e8d5,0xb758588dab73295b,0,0,0
42,0x43ff50113d1a85dd,0x750cab754ccc9bc2,0,0,0
43,0x2627f7312922f83,0x19985f15ff002d4d,1,1,0
44,0xe18050815958a499,0x3e896c64e117dac3,0,0,0
45,0x286218b848f4ef12,0x8dfa6a56d12dbc9a,0,0,0
46,0xa9d3d7c7ee87905e,0xe0ccedc5f05db76e,1,1,0
47,0x45b89cd927cb6f2a,0xda587e8aa25d6b29,1,1,0
48,0x7d106c6081627cf1,0xd450281c6c6f7633,1,1,0
49,0xe85ece0b49452d,0x430f801dfad409e2,0,0,0
50,0x1ca3c4480279b6a6,0xd5a804eb093923de,1,1,0
51,0x8d7248e2951f58d0,0x20a045026e068097,0,0,0
52,0xaabc25fa3fe12e47,0xdfed2c43e256a6dc,0,0,0
53,0xdd56cc943c9ad14c,0xe1a47e102d534dd0,1,1,0
54,0x3f87e362cf8d446a,0xdbccc47709e9db0a,1,1,0
55,0x75d66ed4eb1fa9f2,0x3a43b2badf0f06cb,0,0,0
56,0xa8f7ef5a060edf5b,0x5408f9ac6601ddd0,0,0,0
57,0x4774bc58c5f8bc16,0x8268690ba43825b5,1,1,0
58,0x42deffccf86c2ca2,0x9cb394243f59a85,0,0,0
59,0x6f3f920c98b8e4cc,0xc9535b63ba81edd9,1,1,0
60,0x1d9af65982ec9f2d,0x939b462de645f129,1,1,0
61,0x5d3d9e563270e4fa,0x81d2c7de4ce1eb90,0,0,0
62,0x688c7015aab97e49,0xb27c40266703b636,0,0,0
63,0x2095eef68dedf9fb,0x4d0b0d1a91b0e1d9,0,0,0
64,0xd56f03508c459ce2,0x49732d6c4dcabfb7,1,1,0
65,0xa79ac9aa9b4e2c24,0x7118e36477097749,0,0,0
66,0xa8aa71582b70e525,0x9e87e04ca2086977,1,1,0
67,0x25b8fd4b32fa2de8,0x12a4def0c4bbb7a9,1,1,0
68,0x624c69b6b24445a7,0x3e75c3b4664fa663,1,1,0
69,0xb00805cca7f36ae9,0xe2add909c521bf2d,1,1,0
70,0x6cd66193c7468f59,0x8498e113b227462c,1,1,0
71,0x8eb225790cdb1ca4,0xd92c9227eadf5085,0,0,0
72,0x8c41561be827a1b9,0x79844388dc8aee30,0,0,0
73,0xc074718e425a609f,0xa33dc7afd701410d,1,1,0
74,0xa07295e97c0e8cd8,0x709b7d97464c04af,0,0,0
75,0x49257af1b6aae05b,0x55fa1ab8458f1f19,0,0,0
76,0x8a476a87e49d681d,0x269cd696236c7b87,0,0,0
77,0xb1a6b1f1620e99d3,0x36c59dacb4d7e28e,0,0,0
78,0x68586eba6a34c854,0x7746d0ba8ae8905b,1,1,0
79,0x7a1b58066160a6b4,0x5a0cdd7cf1578470,1,1,0
80,0xe5d6f6e69a6ec2f5,0x382c043f7cfc9b79,0,0,0
81,0x7c5308bf6f92f25e,0xcc530e36addc3e13,1,1,0
82,0xeb67146a77a6e17c,0xe82c7d7b06e745f9,1,1,0
83,0x2e85cb217631de9d,0x610cf37342999aa4,1,1,0
84,0x74672cd9362f5e5c,0xd4f8fd72f3821cfd,1,1,0
85,0xd5bcb8d04094dded,0x59970043f3b1025b,0,0,0
86,0xa6d964a3f510ab53,0x9f0fda8d05379ff6,0,0,0
87,0x205004943d114802,0x37cc863bf2a03459,0,0,0
88,0xedcb8cb60692dc63,0x60141de9f54ad0a2,0,0,0
89,0xb70b3420f1043785,0xa092f52ad4a057a7,1,1,0
90,0xce3714af99b49350,0xa8381bec85aca46,1,1,0
91,0x575aed2ca5c5650c,0x1b0498637d7ddbed,0,0,0
92,0xd4262982e43e4288,0x272a6d8eb5122df8,1,1,0
93,0xa6846099f7294951,0xc64ee6e389c5b31a,0,0,0
94,0x97ac6aa8bb2488a3,0xda09dfa052828d80,1,1,0
95,0xef43613cd4aac9a3,0xe1b294de4767d76c,0,0,0
96,0xc01f36bf3e6dd58b,0x561e16d16105716b,1,1,0
97,0xd9d80b8d7e8adee7,0x7cd0129d2e8d0e87,1,1,0
98,0xcc3ebdde5ad5cf06,0x8e48522346b98991,0,0,0
99,0xf2b43abf8441aefd,0x17d2582e046a0df5,1,1,0
